HKL	          d	    F^2	  M	
[-3,2,-11]	 0.88053	 1734.38	  12
[-2,3,-11]	 0.88053	 1734.38	  12
[2,-3,11]	 0.88053	 1734.38	  12
[3,-2,11]	 0.88053	 1734.38	  12
[3,2,-11]	 0.88053	 2525.40	  12
[-5,-1,5]	 0.87871	11257.82	  12
[-1,-5,-5]	 0.87871	11257.82	  12
[1,5,5] 	 0.87871	11257.82	  12
[5,1,-5]	 0.87871	11257.82	  12
[-4,0,-10]	 0.87779	16325.77	   6
[0,-4,10]	 0.87779	16325.77	   6
[0,4,-10]	 0.87779	16325.77	   6
[4,0,10]	 0.87779	16325.77	   6
[-5,2,2]	 0.87599	   39.05	  12
[-2,5,2]	 0.87599	   39.05	  12
[2,-5,-2]	 0.87599	   39.05	  12
[5,-2,-2]	 0.87599	   39.05	  12
[-5,-2,-3]	 0.86621	 1368.98	  12
[-5,-2,3]	 0.86621	 1368.98	  12
[-2,-5,-3]	 0.86621	 1368.98	  12
[-2,-5,3]	 0.86621	 1368.98	  12
[2,5,-3]	 0.86621	 1368.98	  12
[2,5,3] 	 0.86621	 1368.98	  12
[5,2,-3]	 0.86621	 1368.98	  12
[5,2,3] 	 0.86621	 1368.98	  12
[-2,0,-14]	 0.86496	   86.40	   6
[0,-2,14]	 0.86496	   86.40	   6
[0,2,-14]	 0.86496	   86.40	   6
[2,0,14]	 0.86496	   86.40	   6
[-4,1,10]	 0.86324	 7487.44	  12
[-1,4,10]	 0.86324	 7487.44	  12
[1,-4,-10]	 0.86324	 7487.44	  12
[4,-1,-10]	 0.86324	 7487.44	  12
[-5,1,-6]	 0.85742	 1318.42	  12
[-5,1,6]	 0.85742	 1318.42	  12
[-1,5,-6]	 0.85742	 1318.42	  12
[1,-5,6]	 0.85742	 1318.42	  12
[5,-1,-6]	 0.85742	 1318.42	  12
[5,-1,6]	 0.85742	 1318.42	  12
[-1,5,6]	 0.85742	 1318.42	  12
[1,-5,-6]	 0.85742	 1318.42	  12
[-2,4,-9]	 0.85691	17037.68	  12
[2,-4,9]	 0.85691	17037.68	  12
[-4,2,-9]	 0.85691	17037.68	  12
[-4,2,9]	 0.85691	17037.68	  12
[-2,4,9]	 0.85691	17037.68	  12
[2,-4,-9]	 0.85691	17037.68	  12
[4,-2,-9]	 0.85691	17037.68	  12
[4,-2,9]	 0.85691	17037.68	  12
[-5,2,-4]	 0.85305	  153.56	  12
[-2,5,-4]	 0.85305	  153.56	  12
[2,-5,4]	 0.85305	  153.56	  12
[5,-2,4]	 0.85305	  153.56	  12
[-1,-2,-14]	 0.85103	  628.09	  12
[1,2,14]	 0.85103	  628.09	  12
[-2,-1,14]	 0.85103	  628.09	  12
[2,1,-14]	 0.85103	  628.09	  12
[-4,-3,-7]	 0.84726	   40.16	  12
[4,3,7] 	 0.84726	   40.16	  12
[-4,3,-7]	 0.84726	  126.89	  12
[-3,-4,7]	 0.84726	   40.16	  12
[-3,4,-7]	 0.84726	  126.89	  12
[3,-4,7]	 0.84726	  126.89	  12
[3,4,-7]	 0.84726	   40.16	  12
[4,-3,7]	 0.84726	  126.89	  12
[-4,-4,0]	 0.84160	   81.69	   6
[4,4,0] 	 0.84160	   81.69	   6
[-1,-1,-15]	 0.83917	31105.29	  12
[1,1,15]	 0.83917	31105.29	  12
[-1,-1,15]	 0.83917	31105.29	  12
[1,1,-15]	 0.83917	31105.29	  12
[-5,2,5]	 0.83698	 3858.47	  12
